Datei,criterion,max_depth,min_sample_split,f_score,precision,recall
csv\CSV Processed\20newsgroups_processed_1000.csv,entropy,139,2,0.5994338317223936,0.5967367729190796,0.6127692404887356
csv\CSV Processed\20newsgroups_processed_10000.csv,entropy,91,2,0.6230437632479691,0.6211183836009858,0.6505539748513988
csv\CSV Processed\20newsgroups_processed_11000.csv,entropy,85,2,0.6302805459220425,0.6285695961798007,0.6572337739127326
csv\CSV Processed\20newsgroups_processed_12000.csv,entropy,100,2,0.6240921150532834,0.6214619597015155,0.6462436402583732
csv\CSV Processed\20newsgroups_processed_13000.csv,entropy,79,2,0.621157417135012,0.6178562065750158,0.6537922905463398
csv\CSV Processed\20newsgroups_processed_14000.csv,entropy,140,2,0.6163498274768553,0.6162159584433561,0.6310458781525257
csv\CSV Processed\20newsgroups_processed_15000.csv,entropy,79,2,0.614419698126865,0.6116649785892899,0.6477943531008403
csv\CSV Processed\20newsgroups_processed_16000.csv,entropy,125,2,0.6230049740045908,0.6249635453032494,0.6343767094493294
csv\CSV Processed\20newsgroups_processed_17000.csv,entropy,120,2,0.6261944121583845,0.6235200798499472,0.6429791892474137
csv\CSV Processed\20newsgroups_processed_18000.csv,entropy,131,2,0.6216290822701408,0.622150085545244,0.6285219048477305
csv\CSV Processed\20newsgroups_processed_19000.csv,entropy,98,2,0.6293841537232271,0.6282085090678952,0.6504775059428264
csv\CSV Processed\20newsgroups_processed_2000.csv,entropy,131,2,0.619561920419792,0.6180562248039357,0.6377169682033754
csv\CSV Processed\20newsgroups_processed_20000.csv,entropy,75,2,0.6246214355036908,0.6204488062621468,0.6607230162449236
csv\CSV Processed\20newsgroups_processed_25000.csv,entropy,124,2,0.6233905801202558,0.6225803125349959,0.6406087515489209
csv\CSV Processed\20newsgroups_processed_3000.csv,entropy,147,2,0.6166831886328872,0.6183533707538982,0.6202290289196435
csv\CSV Processed\20newsgroups_processed_30000.csv,entropy,89,2,0.6296588300271814,0.6272304471262902,0.6528756126455779
csv\CSV Processed\20newsgroups_processed_35000.csv,entropy,82,2,0.6224225426524693,0.6187501716611757,0.6591075712143928
csv\CSV Processed\20newsgroups_processed_4000.csv,entropy,69,2,0.6091464866176252,0.6076246939997906,0.6440556427739136
csv\CSV Processed\20newsgroups_processed_40000.csv,entropy,98,2,0.6230548119386988,0.6202280100421168,0.646132023908371
csv\CSV Processed\20newsgroups_processed_5000.csv,entropy,128,2,0.6171086981478265,0.6187479421749549,0.6256100114660224
csv\CSV Processed\20newsgroups_processed_6000.csv,entropy,70,2,0.6095090031272961,0.6082435949414912,0.6431747297536772
csv\CSV Processed\20newsgroups_processed_7000.csv,entropy,77,2,0.6186326670720613,0.6162416688294899,0.6531980716671728
csv\CSV Processed\20newsgroups_processed_8000.csv,entropy,81,2,0.6270777869991127,0.6225994889616612,0.6615462505659822
csv\CSV Processed\20newsgroups_processed_9000.csv,entropy,109,2,0.6279471471234599,0.6255164883226565,0.6488066816485745
